,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk
156,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,51000,53.125,480,0.0_13.0
157,0.0,,,,,,64.0,,,,,240,note_off,,80.0,64.0,80.0,51240,53.375,480,0.0_13.0
158,0.0,,,,,,59.0,,,,,0,note_off,,80.0,59.0,80.0,51240,53.375,480,0.0_13.0
159,0.0,,,,,,52.0,,,,,0,note_off,,80.0,52.0,80.0,51240,53.375,480,0.0_13.0
160,0.0,,,,,,62.0,,,,,120,note_on,,95.0,62.0,95.0,51360,53.5,480,0.0_13.0
161,0.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,51360,53.5,480,0.0_13.0
162,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,51360,53.5,480,0.0_13.0
163,0.0,,,,,,62.0,,,,,240,note_off,,80.0,62.0,80.0,51600,53.75,480,0.0_13.0
164,0.0,,,,,,57.0,,,,,0,note_off,,80.0,57.0,80.0,51600,53.75,480,0.0_13.0
165,0.0,,,,,,50.0,,,,,0,note_off,,80.0,50.0,80.0,51600,53.75,480,0.0_13.0
166,0.0,,,,,,60.0,,,,,0,note_on,,95.0,60.0,95.0,51600,53.75,480,0.0_13.0
167,0.0,,,,,,55.0,,,,,0,note_on,,95.0,55.0,95.0,51600,53.75,480,0.0_13.0
168,0.0,,,,,,48.0,,,,,0,note_on,,95.0,48.0,95.0,51600,53.75,480,0.0_13.0
169,0.0,,,,,,60.0,,,,,960,note_off,,80.0,60.0,80.0,52560,54.75,480,0.0_13.0
170,0.0,,,,,,55.0,,,,,0,note_off,,80.0,55.0,80.0,52560,54.75,480,0.0_13.0
171,0.0,,,,,,48.0,,,,,0,note_off,,80.0,48.0,80.0,52560,54.75,480,0.0_13.0
172,0.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,52560,54.75,480,0.0_13.0
173,0.0,,,,,,54.0,,,,,0,note_on,,95.0,54.0,95.0,52560,54.75,480,0.0_13.0
174,0.0,,,,,,47.0,,,,,0,note_on,,95.0,47.0,95.0,52560,54.75,480,0.0_13.0
175,0.0,,,,,,57.0,,,,,930,note_on,,95.0,57.0,95.0,53490,55.71875,480,0.0_13.0
176,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,53490,55.71875,480,0.0_13.0
177,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,53490,55.71875,480,0.0_13.0
178,0.0,,,,,,57.0,,,,,29,note_off,,80.0,57.0,80.0,53519,55.748958333333334,480,0.0_13.0
